ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2014-15,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,1,General,233,236,218,132,148,129,146,158,134,170,182,124,247,187,247,157,151,182,183,186,199,174,217,160,133,134
2014-15,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,General,750,761,440,294,296,247,195,213,244,187,158,106,59,48,468,298,324,279,153,144,142,155,140,86,52,48
2014-15,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,1,General,216,226,186,133,127,135,101,93,95,112,106,69,63,43,148,127,112,134,87,113,119,124,102,74,78,73
2014-15,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,1,General,654,660,180,137,153,156,97,117,116,121,78,84,71,80,210,162,141,137,117,125,95,97,105,66,50,24
2014-15,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,1,General,330,326,225,140,131,138,120,78,105,109,133,108,115,52,242,137,147,124,95,90,105,105,121,100,82,50
2014-15,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,1,General,211,215,226,129,124,114,153,151,187,167,148,116,56,43,241,146,134,133,121,132,132,126,130,85,62,34
2014-15,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,1,General,82,100,48,47,44,54,100,159,170,175,203,115,278,169,124,77,112,91,167,192,178,191,194,151,204,163
2014-15,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,1,General,771,703,217,177,153,181,144,126,116,109,77,68,66,63,202,149,122,146,118,124,105,124,130,82,53,57
2014-15,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,1,General,157,143,66,61,62,90,134,121,119,173,171,155,121,111,55,66,69,106,164,111,106,80,76,88,53,59
2014-15,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,1,General,226,216,71,37,43,45,47,35,64,63,48,48,34,18,55,31,28,34,48,56,61,51,58,38,44,32
2014-15,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,1,General,13,11,6,8,10,9,12,20,8,13,14,14,14,12,8,8,12,9,16,20,14,13,20,10,14,6
2014-15,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,1,General,372,360,118,105,88,112,167,136,153,170,118,86,66,51,121,87,86,107,137,124,137,130,120,92,65,64
2014-15,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,2,SC,215,200,94,47,45,60,78,66,71,84,75,37,85,72,100,61,60,69,66,66,53,67,58,63,36,26
2014-15,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,2,SC,509,459,154,93,113,89,53,48,39,44,57,35,14,14,151,111,100,100,57,45,36,60,54,21,6,10
2014-15,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,2,SC,189,211,78,67,63,66,58,33,52,33,42,19,28,12,87,56,51,67,65,51,59,40,33,29,26,14
2014-15,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,2,SC,346,327,78,55,57,67,42,32,25,30,33,31,22,23,72,45,58,43,49,52,48,45,47,38,15,9
2014-15,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,2,SC,231,215,69,56,47,48,50,67,59,59,72,47,38,31,72,51,50,59,57,60,58,59,68,50,42,26
2014-15,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,2,SC,138,111,65,46,46,31,39,32,41,29,31,9,12,7,58,29,28,26,56,37,39,51,20,14,9,17
2014-15,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,2,SC,52,80,28,25,35,32,62,92,114,102,81,76,102,118,51,54,40,48,75,75,77,106,77,55,53,48
2014-15,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,2,SC,173,153,131,64,61,73,45,48,48,50,36,40,34,30,112,69,92,52,54,51,50,43,54,34,28,22
2014-15,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,2,SC,81,57,28,23,34,31,48,37,48,52,65,59,62,58,22,22,26,27,45,47,51,51,68,41,29,25
2014-15,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,2,SC,220,188,42,31,20,15,27,24,21,28,40,23,21,21,40,24,23,33,31,22,31,36,45,30,13,14
2014-15,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,2,SC,17,18,0,2,3,2,5,8,5,6,3,7,8,3,1,1,5,9,10,4,5,1,5,6,5,2
2014-15,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,2,SC,249,239,45,36,42,34,41,52,45,53,27,23,17,12,53,41,44,38,44,48,36,34,33,24,14,17
2014-15,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,3,ST,204,179,106,67,80,76,114,109,133,141,149,107,247,205,143,97,100,95,164,163,173,178,238,165,99,161
2014-15,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,3,ST,624,519,518,371,403,369,222,218,229,238,231,156,76,68,522,374,386,361,206,206,216,217,259,180,113,60
2014-15,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,3,ST,260,241,269,182,191,186,179,173,122,132,136,72,85,52,262,174,196,166,152,180,144,133,137,78,75,50
2014-15,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,3,ST,431,417,189,158,155,153,90,113,115,120,105,82,99,84,195,162,165,146,82,111,113,136,111,108,58,75
2014-15,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,3,ST,279,251,333,218,192,198,131,112,110,135,146,129,17,25,319,211,212,206,122,110,109,154,157,117,20,25
2014-15,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,3,ST,219,213,385,257,210,229,224,187,186,216,224,149,78,65,366,214,209,225,187,169,169,182,194,143,101,77
2014-15,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,3,ST,44,92,27,24,38,36,49,97,122,123,180,89,191,146,60,62,64,78,122,145,157,178,199,135,218,201
2014-15,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,3,ST,496,335,302,187,162,147,176,153,166,133,154,106,84,96,295,204,173,168,150,155,140,160,158,127,76,57
2014-15,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,3,ST,73,48,35,17,27,45,81,77,101,94,144,100,183,150,27,24,34,39,78,87,104,83,95,75,95,81
2014-15,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,3,ST,197,179,169,85,95,90,56,65,72,83,65,52,51,40,150,83,92,86,70,66,73,86,87,67,64,47
2014-15,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,3,ST,14,9,2,1,7,5,22,17,20,16,24,17,22,18,6,6,7,9,23,11,28,15,22,36,15,23
2014-15,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,3,ST,317,264,147,108,117,97,152,164,179,158,164,119,72,68,136,91,83,69,134,158,164,162,182,115,94,56
2014-15,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,4,OBC,175,186,129,93,87,85,143,150,134,154,160,129,229,156,152,96,122,122,191,237,214,241,267,208,167,180
2014-15,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,4,OBC,405,375,404,239,260,244,217,212,220,237,219,147,74,82,361,245,276,256,189,222,232,237,205,163,83,54
2014-15,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,4,OBC,255,266,289,236,238,239,189,182,156,169,160,97,106,68,248,224,222,245,169,187,186,175,155,101,106,73
2014-15,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,4,OBC,348,325,189,175,189,153,116,115,140,133,173,126,233,149,185,172,151,161,126,119,126,176,165,139,110,94
2014-15,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,4,OBC,270,262,208,133,147,144,121,103,116,135,146,92,36,31,242,172,160,151,135,125,104,124,152,105,49,34
2014-15,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,4,OBC,233,212,219,154,158,152,144,164,183,162,159,107,55,46,226,152,175,128,130,156,168,161,156,101,75,55
2014-15,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,4,OBC,48,77,41,40,32,23,54,115,135,136,161,126,242,191,56,47,50,94,132,154,144,143,147,119,175,187
2014-15,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,4,OBC,274,237,170,123,101,109,169,155,143,168,137,134,133,101,158,123,125,109,137,155,153,176,154,152,104,53
