ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,0,0,7,3,9,7,5,3,4,3,0,0,0,0,5,5,9,1,4,8,6,2,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,5,6,4,5,6,7,5,7,6,0,0,0,0,0,7,4,9,5,6,5,9,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,2,cat2,UPS (I-VIII),5,Private Unaided (Recognized),4,OBC,3,4,7,2,2,2,10,4,4,0,0,0,0,0,6,2,3,3,2,2,7,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,12,12,18,19,0,0,0,0,0,0,0,0,11,23,10,5,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,15,15,14,11,0,0,0,0,0,0,0,0,6,19,18,20,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,10,4,12,11,0,0,0,0,0,0,0,0,9,4,10,11,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,4,cat4,UPS (VI-VIII),1,Department of Education,4,OBC,0,0,0,0,0,0,12,19,18,23,0,0,0,0,0,0,0,0,13,16,18,22,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,4,cat4,UPS (VI-VIII),5,Private Unaided (Recognized),4,OBC,0,0,0,0,0,0,3,9,7,6,0,0,0,0,0,0,0,0,15,10,10,7,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,3,cat3,HSS (I-XII),4,Government Aided,1,General,0,0,20,5,70,32,43,56,50,45,60,45,57,51,2,25,25,5,3,5,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,3,cat3,HSS (I-XII),5,Private Unaided (Recognized),1,General,0,0,24,25,26,24,27,27,25,22,29,41,34,28,19,20,19,20,21,9,21,25,34,39,33,32
