Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,1,PS (I-V),1,Department of Education,261,242,38,41,39,228,83,108,1,61,167,9,0,3,2,260,260,260,260,261,261,38,44,45,45,161,161,7,8,7,192,10,137,261,69,12,0,26
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,1,PS (I-V),5,Private Unaided (Recognized),8,8,2,1,5,5,6,6,0,0,4,1,0,0,0,8,8,8,8,8,8,1,1,1,1,7,7,0,0,0,6,0,5,7,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,1,PS (I-V),8,Unrecognized,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,2,UPS (I-VIII),5,Private Unaided (Recognized),2,1,0,1,2,1,1,1,0,0,1,1,0,0,0,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,3,HSS (I-XII),5,Private Unaided (Recognized),2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,4,UPS (VI-VIII),1,Department of Education,17,13,1,0,1,17,8,9,0,4,9,3,0,0,0,17,17,17,17,17,17,2,2,2,2,5,5,1,1,1,8,0,2,17,4,1,0,1
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,4,UPS (VI-VIII),5,Private Unaided (Recognized),2,2,0,0,2,2,2,2,0,0,2,1,1,2,0,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,2,0,1,2,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,5,HSS (VI-XII),1,Department of Education,8,7,2,0,3,8,7,8,0,2,7,5,0,3,0,8,8,8,8,8,8,6,6,6,6,8,8,0,0,0,8,2,8,8,6,1,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,6,SS (I-X),5,Private Unaided (Recognized),4,2,2,0,3,2,2,2,0,0,2,2,1,1,0,4,4,4,4,4,4,0,0,0,0,2,2,0,0,0,3,0,1,4,2,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,7,SS (VI-X),1,Department of Education,11,10,2,0,3,10,8,10,0,8,11,9,0,2,0,11,11,11,11,11,11,10,10,10,10,11,11,1,0,0,11,0,11,11,9,1,0,3
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,7,SS (VI-X),5,Private Unaided (Recognized),1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,1,PS (I-V),1,Department of Education,17,17,2,8,2,13,4,6,0,1,10,1,0,0,0,17,17,17,17,17,17,5,5,5,5,7,7,0,0,0,14,0,6,17,2,0,0,7
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,1,PS (I-V),5,Private Unaided (Recognized),16,14,5,2,12,15,6,7,0,1,12,5,0,3,1,16,16,16,16,16,16,1,1,1,1,13,13,0,0,0,15,0,13,14,3,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,2,UPS (I-VIII),5,Private Unaided (Recognized),3,3,3,0,2,2,2,2,0,0,2,1,1,1,0,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,3,0,3,1,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,4,UPS (VI-VIII),1,Department of Education,2,2,0,0,0,2,2,2,0,1,2,2,0,0,0,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,2,0,1,2,1,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,4,UPS (VI-VIII),5,Private Unaided (Recognized),1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,6,SS (I-X),5,Private Unaided (Recognized),1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,1,PS (I-V),1,Department of Education,117,87,14,13,10,100,44,51,0,19,62,14,0,0,7,117,117,117,117,117,117,27,40,40,40,77,77,3,2,6,87,3,58,117,36,1,0,26
